Open,High,Low,Close,CloseBkp,Datetime
3772.8142927202866,3791.1488961328578,3741.163319569247,3766.424560546875,3766.424560546875,2024-05-28 06:00:00+02:00
,,,3766.424560546875,3766.424560546875,2024-05-28 06:00:00+02:00
3772.814048165477,3791.148650389595,3741.163077066062,3766.42431640625,3766.42431640625,2024-05-28 06:00:00+02:00
,,,3766.42431640625,3766.42431640625,2024-05-28 06:00:00+02:00
3779.067070079624,3797.432059878647,3747.3636409970254,3772.666748046875,3772.666748046875,2024-05-28 06:00:00+02:00
,,,3744.88037109375,3744.88037109375,2024-05-28 18:00:00+02:00
3733.7270073220807,3758.671666766644,3709.5587852148255,3717.093994140625,3717.093994140625,2024-05-29 06:00:00+02:00
,,,3727.212158203125,3727.212158203125,2024-05-29 18:00:00+02:00
3728.3418756987753,3749.603378122158,3687.5107508368255,3737.330322265625,3737.330322265625,2024-05-30 06:00:00+02:00
,,,3748.145263671875,3748.145263671875,2024-05-30 18:00:00+02:00
3729.745263070107,3766.097109841899,3694.757224168592,3758.960205078125,3758.960205078125,2024-05-31 06:00:00+02:00
,,,3752.634399414064,3752.634399414064,2024-06-01 18:00:00+02:00
3758.960269221504,3767.00289613473,3696.787689025135,3746.30859375,3746.30859375,2024-06-03 06:00:00+02:00
,,,3765.081909179687,3765.081909179687,2024-06-03 18:00:00+02:00
3755.128015093539,3806.151977644862,3751.554459198315,3783.855224609375,3783.855224609375,2024-06-04 06:00:00+02:00
,,,3798.626708984375,3798.626708984375,2024-06-04 18:00:00+02:00
3791.519430163228,3820.326103846943,3736.633212425779,3813.398193359375,3813.398193359375,2024-06-05 06:00:00+02:00
,,,3802.956665039064,3802.956665039064,2024-06-05 18:00:00+02:00
3813.3985066058817,3837.138534079337,3782.501403626271,3792.51513671875,3792.51513671875,2024-06-06 06:00:00+02:00
,,,3798.391479492187,3798.391479492187,2024-06-06 18:00:00+02:00
3778.5174798567705,3811.401182032039,3761.277430997008,3804.267822265625,3804.267822265625,2024-06-07 06:00:00+02:00
,,,3792.110961914064,3792.110961914064,2024-06-08 18:00:00+02:00
3796.745240345556,3796.745240345556,3738.011329514701,3779.9541015625,3779.9541015625,2024-06-10 06:00:00+02:00
,,,3779.944091796875,3779.944091796875,2024-06-10 18:00:00+02:00
3764.250482433744,3811.0518596482334,3754.014211128314,3779.93408203125,3779.93408203125,2024-06-11 06:00:00+02:00
,,,3823.687622070313,3823.687622070313,2024-06-11 18:00:00+02:00
3798.191841929993,3902.639564909071,3798.191841929993,3867.441162109375,3867.441162109375,2024-06-12 06:00:00+02:00
,,,3857.32958984375,3857.32958984375,2024-06-12 18:00:00+02:00
3841.092330748656,3857.224840593557,3811.6306244995626,3847.218017578125,3847.218017578125,2024-06-13 06:00:00+02:00
,,,3848.6947021484375,3848.6947021484375,2024-06-13 18:00:00+02:00
3828.1324081552657,3854.172118617217,3805.275502181428,3850.17138671875,3850.17138671875,2024-06-14 06:00:00+02:00
,,,3897.047729492187,3897.047729492187,2024-06-15 18:00:00+02:00
3869.775954072361,3948.822624587241,3845.592046541344,3943.924072265625,3943.924072265625,2024-06-17 06:00:00+02:00
,,,3953.9556884765625,3953.9556884765625,2024-06-17 18:00:00+02:00
3948.553126390482,3979.890609906321,3928.330004993998,3963.9873046875,3963.9873046875,2024-06-18 06:00:00+02:00
,,,3963.438598632813,3963.438598632813,2024-06-19 06:00:00+02:00
3985.7567847229566,3995.134938550825,3952.1148317791167,3962.889892578125,3962.889892578125,2024-06-20 06:00:00+02:00
,,,3971.3802490234375,3971.3802490234375,2024-06-20 18:00:00+02:00
3973.375657767952,3983.4421568708426,3931.632374358252,3979.87060546875,3979.87060546875,2024-06-21 06:00:00+02:00
,,,3975.9296875,3975.9296875,2024-06-22 18:00:00+02:00
3979.8806242925234,4008.793554658964,3950.837868043744,3971.98876953125,3971.98876953125,2024-06-24 06:00:00+02:00
,,,3988.540283203125,3988.540283203125,2024-06-24 18:00:00+02:00
4007.576269585296,4023.668832626848,3976.7775767048392,4005.091796875,4005.091796875,2024-06-25 06:00:00+02:00
,,,3989.12890625,3989.12890625,2024-06-25 18:00:00+02:00
3978.9526451206766,3998.916358556513,3961.9520308899137,3973.166015625,3973.166015625,2024-06-26 06:00:00+02:00
,,,3986.644775390625,3986.644775390625,2024-06-26 18:00:00+02:00
4030.6528347507583,4030.6528347507583,3990.745380941345,4000.12353515625,4000.12353515625,2024-06-27 06:00:00+02:00
,,,3976.22900390625,3976.22900390625,2024-06-27 18:00:00+02:00
3984.759279007714,4022.3420458406895,3941.8587659888535,3952.33447265625,3952.33447265625,2024-06-28 06:00:00+02:00
,,,3914.113037109375,3914.113037109375,2024-06-29 18:00:00+02:00
3968.147872005564,3968.147872005564,3860.8067107224138,3875.8916015625,3875.8916015625,2024-07-01 06:00:00+02:00
,,,3891.520385742187,3891.520385742187,2024-07-01 18:00:00+02:00
3867.840425683725,3913.304816675457,3867.840425683725,3907.149169921875,3907.149169921875,2024-07-02 06:00:00+02:00
,,,3907.48828125,3907.48828125,2024-07-02 18:00:00+02:00
3903.4576434913815,3927.86101146812,3892.922017683242,3907.827392578125,3907.827392578125,2024-07-03 06:00:00+02:00
,,,3914.442138671875,3914.442138671875,2024-07-04 06:00:00+02:00
3927.871160434741,3930.64475769826,3895.965170661454,3921.056884765625,3921.056884765625,2024-07-05 06:00:00+02:00
,,,3948.2337646484375,3948.2337646484375,2024-07-06 18:00:00+02:00
3923.7107158413737,3993.5387702332114,3904.9841245048847,3975.41064453125,3975.41064453125,2024-07-08 06:00:00+02:00
,,,3971.843994140625,3971.843994140625,2024-07-08 18:00:00+02:00
3995.564161889021,4010.938420312216,3964.705548798912,3968.27734375,3968.27734375,2024-07-09 06:00:00+02:00
,,,3974.5478515625,3974.5478515625,2024-07-09 18:00:00+02:00
3970.911402394862,3981.6562599973217,3940.860973448051,3980.818359375,3980.818359375,2024-07-10 06:00:00+02:00
,,,3954.060302734375,3954.060302734375,2024-07-10 18:00:00+02:00
3989.737532780988,3989.737532780988,3917.04600168604,3927.30224609375,3927.30224609375,2024-07-11 06:00:00+02:00
,,,3972.208129882813,3972.208129882813,2024-07-11 18:00:00+02:00
3940.8609173383607,4042.315579559707,3940.8609173383607,4017.114013671875,4017.114013671875,2024-07-12 06:00:00+02:00
,,,4047.827880859375,4047.827880859375,2024-07-13 18:00:00+02:00
4025.2853682629634,4090.513984097893,4003.974680918814,4078.541748046875,4078.541748046875,2024-07-15 06:00:00+02:00
,,,4094.050659179687,4094.050659179687,2024-07-15 18:00:00+02:00
4107.474561801141,4134.731176571943,4101.129413235616,4109.5595703125,4109.5595703125,2024-07-16 06:00:00+02:00
,,,4044.984375,4044.984375,2024-07-16 18:00:00+02:00
4092.589215672486,4099.203759119431,3980.080108830348,3980.4091796875,3980.4091796875,2024-07-17 06:00:00+02:00
,,,3950.937622070313,3950.937622070313,2024-07-17 18:00:00+02:00
3992.8802867737327,4013.432722731754,3896.114698759332,3921.466064453125,3921.466064453125,2024-07-18 06:00:00+02:00
,,,3939.7685546875,3939.7685546875,2024-07-18 18:00:00+02:00
3928.978599577472,3967.7785133095526,3921.465992374151,3958.071044921875,3958.071044921875,2024-07-19 06:00:00+02:00
,,,3929.212890625,3929.212890625,2024-07-20 18:00:00+02:00
3966.800741552031,3975.420644038408,3895.965014024316,3900.354736328125,3900.354736328125,2024-07-22 06:00:00+02:00
,,,3905.243408203125,3905.243408203125,2024-07-22 18:00:00+02:00
3897.960355989827,3936.261425695545,3892.602663667356,3910.132080078125,3910.132080078125,2024-07-23 06:00:00+02:00
,,,3853.5533447265625,3853.5533447265625,2024-07-23 18:00:00+02:00
3871.022857591907,3882.0673131728977,3791.207953311661,3796.974609375,3796.974609375,2024-07-24 06:00:00+02:00
,,,3724.193359375,3724.193359375,2024-07-24 18:00:00+02:00
3777.240425571088,3777.240425571088,3634.621214160676,3651.412109375,3651.412109375,2024-07-25 06:00:00+02:00
,,,3671.919555664064,3671.919555664064,2024-07-25 18:00:00+02:00
3689.982719238401,3705.646345400412,3650.683719561363,3692.427001953125,3692.427001953125,2024-07-26 06:00:00+02:00
,,,3719.434326171875,3719.434326171875,2024-07-27 18:00:00+02:00
3726.4582080864807,3790.838690877948,3706.683997358106,3746.441650390625,3746.441650390625,2024-07-29 06:00:00+02:00
,,,3729.411254882813,3729.411254882813,2024-07-29 18:00:00+02:00
3743.428974981757,3782.667812836517,3675.22703006822,3712.380859375,3712.380859375,2024-07-30 06:00:00+02:00
