Open,High,Low,Close,CloseBkp,Datetime
,,,132.20392608642578,132.20392608642578,2024-06-19 06:00:00+02:00
130.7261726226203,134.11089105358033,130.34575831200553,133.50611877441406,133.50611877441406,2024-06-20 06:00:00+02:00
,,,133.3744354248047,133.3744354248047,2024-06-20 18:00:00+02:00
133.2622498136573,135.18383379981805,132.94035852379702,133.2427520751953,133.2427520751953,2024-06-21 06:00:00+02:00
,,,134.21817779541016,134.21817779541016,2024-06-22 18:00:00+02:00
134.41326231340415,136.2080366598728,133.76947970528914,135.193603515625,135.193603515625,2024-06-24 06:00:00+02:00
,,,133.1257095336914,133.1257095336914,2024-06-24 18:00:00+02:00
134.64736451829154,134.64736451829154,130.75543684774533,131.0578155517578,131.0578155517578,2024-06-25 06:00:00+02:00
,,,132.90623474121094,132.90623474121094,2024-06-25 18:00:00+02:00
133.12569963994082,135.53499514778983,131.7796262962639,134.75465393066406,134.75465393066406,2024-06-26 06:00:00+02:00
,,,133.62316131591797,133.62316131591797,2024-06-26 18:00:00+02:00
134.59858533030854,134.59858533030854,131.86739876110576,132.49166870117188,132.49166870117188,2024-06-27 06:00:00+02:00
,,,132.98914337158203,132.98914337158203,2024-06-27 18:00:00+02:00
132.83307165893007,133.82800709661063,132.36487287569193,133.4866180419922,133.4866180419922,2024-06-28 06:00:00+02:00
,,,133.04767608642578,133.04767608642578,2024-06-29 18:00:00+02:00
133.28177828206242,134.70590219890363,132.22831981284526,132.60873413085938,132.60873413085938,2024-07-01 06:00:00+02:00
,,,132.10150909423828,132.10150909423828,2024-07-01 18:00:00+02:00
132.27707699176577,132.6184809007249,130.7651687837277,131.5942840576172,131.5942840576172,2024-07-02 06:00:00+02:00
,,,131.9064178466797,131.9064178466797,2024-07-02 18:00:00+02:00
132.4038843324917,133.13545136675393,131.86739886394557,132.2185516357422,132.2185516357422,2024-07-03 06:00:00+02:00
,,,132.60872650146484,132.60872650146484,2024-07-04 06:00:00+02:00
131.55526494341228,133.10619846782254,131.13584029423825,132.9989013671875,132.9989013671875,2024-07-05 06:00:00+02:00
,,,132.59896850585938,132.59896850585938,2024-07-06 18:00:00+02:00
