Close,High,Low,Open,Datetime
170.57652282714844,170.92405659767795,168.8786102136615,169.7921098050181,2024-05-07 06:00:00+02:00
169.5885467529297,170.77014328046548,168.62540490372504,169.5140795245189,2024-05-07 18:00:00+02:00
168.60057067871094,170.61622996325298,168.37219959378857,169.2360492440197,2024-05-08 06:00:00+02:00
170.8694305419922,172.07088245149288,168.60057513846192,169.0324999635775,2024-05-08 18:00:00+02:00
173.13829040527344,173.52553493973275,168.8289506831353,168.8289506831353,2024-05-09 06:00:00+02:00
173.1879425048828,173.9574696346969,170.65595958324255,171.24675030853751,2024-05-09 18:00:00+02:00
173.2375946044922,174.38940432966106,172.4829684833498,173.6645499339397,2024-05-10 06:00:00+02:00
172.8751678466797,174.27024204523383,172.13046566440278,173.16311269630904,2024-05-11 18:00:00+02:00
172.5127410888672,174.15107976080662,171.7779628454558,172.6616754586784,2024-05-13 06:00:00+02:00
171.95669555664062,174.1510837151688,171.2715671390715,172.94466984571818,2024-05-13 18:00:00+02:00
171.40065002441406,174.15108766953097,170.7651714326872,173.22766423275797,2024-05-14 06:00:00+02:00
173.18297576904297,174.69223552963734,171.3261822710065,172.6070785132419,2024-05-14 18:00:00+02:00
174.96530151367188,175.2333833897437,171.8871931093258,171.98649279372586,2024-05-15 06:00:00+02:00
173.58511352539062,175.28799554718253,171.99145510227584,173.52057782700405,2024-05-15 18:00:00+02:00
172.20492553710938,175.34260770462137,172.09571709522584,175.05466286028226,2024-05-16 06:00:00+02:00
171.55455017089844,174.54825986057443,171.20206963367357,174.30995728682282,2024-05-16 18:00:00+02:00
170.9041748046875,173.7539120165275,170.30842217212123,173.56525171336338,2024-05-17 06:00:00+02:00
170.31338500976562,172.6815476500352,169.65308906356802,172.26947818410977,2024-05-18 18:00:00+02:00
169.72259521484375,171.60918328354296,168.9977559550148,170.97370465485616,2024-05-20 06:00:00+02:00
170.31338500976562,171.46519473816403,169.0076790150348,170.4176542824008,2024-05-20 18:00:00+02:00
170.9041748046875,171.32120619278513,169.01760207505475,169.86160390994547,2024-05-21 06:00:00+02:00
170.39778900146484,171.49497933095626,169.0225702044478,169.83678519392004,2024-05-21 18:00:00+02:00
169.8914031982422,171.66875246912738,169.0275383338408,169.81196647789463,2024-05-22 06:00:00+02:00
170.1048812866211,171.2864703073663,169.1417318823888,170.05026948824568,2024-05-22 18:00:00+02:00
170.318359375,170.90418814560522,169.25592543093677,170.28857249859672,2024-05-23 06:00:00+02:00
170.18927764892578,171.34107977006028,168.7644165360419,170.96376671201767,2024-05-23 18:00:00+02:00
170.06019592285156,171.77797139451536,168.272907641147,171.63896092543862,2024-05-24 06:00:00+02:00
168.63037109375,170.91412002415984,167.50338631173298,170.790002989019,2024-05-26 06:00:00+02:00
167.20054626464844,170.0502686538043,166.733864982319,169.9410450525994,2024-05-28 06:00:00+02:00
166.3118667602539,169.78217422972654,165.74588580498508,168.00977936320106,2024-05-28 18:00:00+02:00
165.42318725585938,169.51407980564875,164.75790662765115,166.0785136738027,2024-05-29 06:00:00+02:00
165.45793914794922,168.18354436310278,164.74798576762538,165.55226172075123,2024-05-29 18:00:00+02:00
165.49269104003906,166.8530089205568,164.73806490759958,165.0260097676998,2024-05-30 06:00:00+02:00
