Close,High,Low,Open,CloseBkp,Datetime
120.85940551757812,121.66321619288969,117.99408612904743,119.74166612613098,120.85940551757812,2024-06-07 06:00:00+02:00
120.85940551757812,,,,120.85940551757812,2024-06-07 06:00:00+02:00
121.31866073608398,,,,121.31866073608398,2024-06-08 18:00:00+02:00
121.76958465576172,123.07936261299042,116.99038717128398,120.3498245281274,121.76958465576172,2024-06-10 06:00:00+02:00
121.33462142944336,,,,121.33462142944336,2024-06-10 18:00:00+02:00
120.899658203125,122.85948958360687,118.7298380776435,121.75957760024411,120.899658203125,2024-06-11 06:00:00+02:00
123.04447174072266,,,,123.04447174072266,2024-06-11 18:00:00+02:00
125.18928527832033,126.86914184859852,122.55951303818638,123.04946897946785,125.18928527832033,2024-06-12 06:00:00+02:00
127.39409637451172,,,,127.39409637451172,2024-06-12 18:00:00+02:00
129.59890747070312,129.78889365006472,127.14912021429149,129.37892507959842,129.59890747070312,2024-06-13 06:00:00+02:00
130.73381805419922,,,,130.73381805419922,2024-06-13 18:00:00+02:00
131.8687286376953,132.82863800983017,128.3090354725168,129.9488946359412,131.8687286376953,2024-06-14 06:00:00+02:00
131.41876220703125,,,,131.41876220703125,2024-06-15 18:00:00+02:00
130.9687957763672,133.71856062698004,129.5689215917762,132.97863366833235,130.9687957763672,2024-06-17 06:00:00+02:00
133.2686004638672,,,,133.2686004638672,2024-06-17 18:00:00+02:00
135.5684051513672,136.31834100097888,130.67882402219837,131.1287824804686,135.5684051513672,2024-06-18 06:00:00+02:00
133.16860961914062,,,,133.16860961914062,2024-06-19 06:00:00+02:00
130.76881408691406,140.74795629569462,129.50892733853578,139.7880469419257,130.76881408691406,2024-06-20 06:00:00+02:00
128.66399383544922,,,,128.66399383544922,2024-06-20 18:00:00+02:00
126.55917358398438,130.61883150116375,124.28937110411084,127.10912959146616,126.55917358398438,2024-06-21 06:00:00+02:00
122.32953643798828,,,,122.32953643798828,2024-06-22 18:00:00+02:00
118.0998992919922,124.44935468461436,118.0299055838685,123.22945780410822,118.0998992919922,2024-06-24 06:00:00+02:00
122.0895538330078,,,,122.0895538330078,2024-06-24 18:00:00+02:00
126.07920837402344,126.48917695718268,119.30979095596524,121.18962736123486,126.07920837402344,2024-06-25 06:00:00+02:00
126.23419952392578,,,,126.23419952392578,2024-06-25 18:00:00+02:00
126.38919067382812,128.109037155991,122.58951263212006,126.11920949453338,126.38919067382812,2024-06-26 06:00:00+02:00
125.1842918395996,,,,125.1842918395996,2024-06-26 18:00:00+02:00
123.9793930053711,126.39919182073444,122.90948482756797,124.08938420737589,123.9793930053711,2024-06-27 06:00:00+02:00
123.75441360473631,,,,123.75441360473631,2024-06-27 18:00:00+02:00
123.52943420410156,127.69907570179085,122.73950085949568,124.56934616552924,123.52943420410156,2024-06-28 06:00:00+02:00
123.9094009399414,,,,123.9094009399414,2024-06-29 18:00:00+02:00
124.28936767578124,124.82931475892548,118.81983448016378,123.45943686147088,124.28936767578124,2024-07-01 06:00:00+02:00
123.47443771362305,,,,123.47443771362305,2024-07-01 18:00:00+02:00
122.65950775146484,123.39944996129414,121.01964861027588,121.11963853278894,122.65950775146484,2024-07-02 06:00:00+02:00
125.46426773071288,,,,125.46426773071288,2024-07-02 18:00:00+02:00
128.26902770996094,128.26902770996094,121.34962136967512,121.6495987638533,128.26902770996094,2024-07-03 06:00:00+02:00
127.04413223266602,,,,127.04413223266602,2024-07-04 06:00:00+02:00
125.8192367553711,128.83898265880967,125.66924806250304,127.36909957169615,125.8192367553711,2024-07-05 06:00:00+02:00
127.00413131713869,,,,127.00413131713869,2024-07-06 18:00:00+02:00
128.18902587890625,130.75881326763965,127.02912911606042,127.47908755456908,128.18902587890625,2024-07-08 06:00:00+02:00
129.77890014648438,,,,129.77890014648438,2024-07-08 18:00:00+02:00
131.3687744140625,133.80856828209266,128.6389967912747,130.33886367989177,131.3687744140625,2024-07-09 06:00:00+02:00
133.1336212158203,,,,133.1336212158203,2024-07-09 18:00:00+02:00
134.89846801757812,135.08845421259372,132.408675435373,134.01853838065725,134.89846801757812,2024-07-10 06:00:00+02:00
131.1437873840332,,,,131.1437873840332,2024-07-10 18:00:00+02:00
127.38910675048828,136.1383508542146,127.03913820693796,135.73839116372395,127.38910675048828,2024-07-11 06:00:00+02:00
128.30903244018555,,,,128.30903244018555,2024-07-11 18:00:00+02:00
129.2289581298828,131.90872172139123,127.20912652625566,128.24903091434487,129.2289581298828,2024-07-12 06:00:00+02:00
128.82898712158203,,,,128.82898712158203,2024-07-13 18:00:00+02:00
128.42901611328125,131.37876072865342,127.1691217534183,130.54882989317866,128.42901611328125,2024-07-15 06:00:00+02:00
127.38910293579102,,,,127.38910293579102,2024-07-15 18:00:00+02:00
126.34918975830078,129.02895314471692,124.56934326852084,128.4290136327873,126.34918975830078,2024-07-16 06:00:00+02:00
122.16454696655272,,,,122.16454696655272,2024-07-16 18:00:00+02:00
117.97990417480467,121.83957457372928,116.71001617612625,121.3396173472234,117.97990417480467,2024-07-17 06:00:00+02:00
119.52976989746094,,,,119.52976989746094,2024-07-17 18:00:00+02:00
121.0796356201172,122.38952872127382,116.55002443715598,121.83957272894756,121.0796356201172,2024-07-18 06:00:00+02:00
119.49977493286131,,,,119.49977493286131,2024-07-18 18:00:00+02:00
117.91991424560548,121.5895985349607,117.3599645812602,120.33970544223138,117.91991424560548,2024-07-19 06:00:00+02:00
120.72467422485352,,,,120.72467422485352,2024-07-20 18:00:00+02:00
123.52943420410156,124.05938765116504,119.84974865933523,120.33970461225816,123.52943420410156,2024-07-22 06:00:00+02:00
123.05447387695312,,,,123.05447387695312,2024-07-22 18:00:00+02:00
122.57951354980467,124.6793400797856,122.08955758622211,122.76949974392004,122.57951354980467,2024-07-23 06:00:00+02:00
118.40987014770508,,,,118.40987014770508,2024-07-23 18:00:00+02:00
114.24022674560548,119.93973610067285,113.4302984763964,119.15980404458382,114.24022674560548,2024-07-24 06:00:00+02:00
113.25531005859376,,,,113.25531005859376,2024-07-24 18:00:00+02:00
112.27039337158205,116.62001970899706,106.29090922489192,113.03033049061922,112.27039337158205,2024-07-25 06:00:00+02:00
112.66035842895508,,,,112.66035842895508,2024-07-25 18:00:00+02:00
113.05032348632812,116.19005419932996,111.57045439584842,116.18006054768226,113.05032348632812,2024-07-26 06:00:00+02:00
