Open,High,Low,Close,CloseBkp,Datetime
247.3308494978371,247.81519716905296,245.60105577827173,247.7064666748047,247.7064666748047,2024-05-17 06:00:00+02:00
,,,247.7064666748047,247.7064666748047,2024-05-17 06:00:00+02:00
,,,247.70152282714844,247.70152282714844,2024-05-18 18:00:00+02:00
247.72623138028223,248.25011057104663,246.1644729140509,247.6965789794922,247.6965789794922,2024-05-20 06:00:00+02:00
,,,246.80203247070312,246.80203247070312,2024-05-20 18:00:00+02:00
247.4593653571018,247.74601026540896,245.6801458565253,245.9074859619141,245.9074859619141,2024-05-21 06:00:00+02:00
,,,245.8877182006836,245.8877182006836,2024-05-21 18:00:00+02:00
245.09695784889345,247.09362323336603,244.68179407003387,245.86795043945312,245.86795043945312,2024-05-22 06:00:00+02:00
,,,242.2650375366211,242.2650375366211,2024-05-22 18:00:00+02:00
242.8136268404252,242.8136268404252,237.49575659645737,238.66212463378903,238.66212463378903,2024-05-23 06:00:00+02:00
,,,237.98008728027344,237.98008728027344,2024-05-23 18:00:00+02:00
239.1662265245976,239.7296372026234,236.08224120622089,237.2980499267578,237.2980499267578,2024-05-24 06:00:00+02:00
,,,235.98340606689453,235.98340606689453,2024-05-26 06:00:00+02:00
237.0805912954208,238.3556897455392,234.1053364408039,234.66876220703125,234.66876220703125,2024-05-28 06:00:00+02:00
,,,233.4826202392578,233.4826202392578,2024-05-28 18:00:00+02:00
232.84013077541303,234.046045390453,231.89122375274223,232.2964782714844,232.2964782714844,2024-05-29 06:00:00+02:00
,,,233.6753692626953,233.6753692626953,2024-05-29 18:00:00+02:00
232.2964663673941,235.23217465556283,232.1482043660137,235.05426025390625,235.05426025390625,2024-05-30 06:00:00+02:00
,,,237.50067901611328,237.50067901611328,2024-05-30 18:00:00+02:00
235.0937872580152,240.24363685800697,234.7280642732107,239.9470977783203,239.9470977783203,2024-05-31 06:00:00+02:00
,,,238.5237274169922,238.5237274169922,2024-06-01 18:00:00+02:00
240.08549111113567,240.69832750856045,235.2519536746539,237.1003570556641,237.1003570556641,2024-06-03 06:00:00+02:00
,,,237.4957427978516,237.4957427978516,2024-06-03 18:00:00+02:00
236.0624984108619,239.33427744717488,236.0624984108619,237.89112854003903,237.89112854003903,2024-06-04 06:00:00+02:00
,,,238.2519073486328,238.2519073486328,2024-06-04 18:00:00+02:00
238.3853460588821,239.3243739354049,236.665431414517,238.61268615722656,238.61268615722656,2024-06-05 06:00:00+02:00
,,,238.4001693725586,238.4001693725586,2024-06-05 18:00:00+02:00
237.9207659068914,239.1761061355575,236.6950931606512,238.18765258789065,238.18765258789065,2024-06-06 06:00:00+02:00
,,,237.91583251953125,237.91583251953125,2024-06-06 18:00:00+02:00
238.04928204656915,239.3145014466249,236.87301985059432,237.64401245117188,237.64401245117188,2024-06-07 06:00:00+02:00
,,,237.1250686645508,237.1250686645508,2024-06-08 18:00:00+02:00
236.9125430696691,237.4957421354296,235.9240895052945,236.6061248779297,236.6061248779297,2024-06-10 06:00:00+02:00
,,,236.0476531982422,236.0476531982422,2024-06-10 18:00:00+02:00
